consonant	x_	_x	_x_	sum
b	9087	416	10403	19906
p	7377	1075	10108	18560
d	7452	8149	14918	30519
t	5266	8890	29613	32050
g	4794	1032	7085	12911
k	12412	5125	22845	40382
v	2322	824	7034	10180
f	5294	969	6673	12936
z	918	18810	6019	25747
s	11877	11035	24571	47483
S	2369	685	5197	8251
Z	85	21	431	537
T	612	637	1518	2767
D	65	40	450	555
tS	1195	611	2896	4702
dZ	2039	634	3259	5932
h	6438	26	2446	8910
w	3659	5	4860	8524
l	5301	7153	34763	47217
r	7107	1747	34763	43619
j	1277	7	3523	4807
m	9029	2476	16433	27938
n	3068	14402	40221	57691
N	0	5526	3842	9368
