pair no.	pair	immediate segmental environment	cost
1	z-s	n_#	0.07
2	E-i	n_D	0.28
3	.-n	0_l	0.1
3	n-f	5_#	0.66
4	I-^	d_n	0.29
5	&-a	k_m	0.18
5	l-.	0_#	0.08
6	s-T	I_#	0.11
7	h-.	i_2	0.07
8	d-.	n_#	0.09
9	j-.	p_u	0.09
9	u-8	j_r	0.29
10	E-&	v_s	0.19
11	.-d	b_a	0.11
11	0-.	n_b	0.07
11	b-.	0_l	0.21
12	1-0	#_s	0.2
12	i-I	s_d	0.15
13	j-.	k_u	0.09
14	d-t	n_#	0.11
15	1-0	#_l	0.2
16	E-&	#_l	0.19
17	.-r	0_t	0.03
17	z-Z	i_0	0.38
18	h-.	#_O	0.07
18	O-0	w_r	0.25
19	O-0	w_r	0.25
20	O-5	k_z	0.26
20	z-s	O_#	0.07
21	v-b	#_E	0.18
21	r-l	E_I	0.11
21	l-.	k_5	0.08
22	i-I	b_n	0.15
23	z-s	3_t	0.07
23	.-r	0_0	0.03
24	j-b	#_a	0.66
25	.-r	b_i	0.03
26	E-7	C_r	0.29
27	C-S	#_i	0.15
28	1-3	k_n	0.28
29	E-a	k_m	0.27
30	n-.	0_t	0.1
30	t-k	n_r	0.14
31	&-0	k_n	0.24
32	^-5	k_v	0.28
32	0-9	v_r	0.29
32	.-t	r_#	0.07
33	p-k	#_9	0.23
34	s-k	#_9	0.27
35	D-d	#_I	0.05
36	E-I	d_s	0.2
36	s-z	E_I	0.07
36	I-.	s_m	0.11
37	.-d	#_2	0.11
38	&-E	#_l	0.2
39	&-a	r_?	0.18
40	a-5	r_J	0.27
40	J-.	a_0	0.52
40	0-.	J_n	0.07
40	.-i	n_0	0.13
41	I-i	#_n	0.1
41	n-.	I_t	0.1
42	I-E	#_f	0.21
42	f-v	I_0	0.17
42	d-n	0_I	0.38
42	I-E	d_z	0.21
42	z-s	I_0	0.07
43	h-.	#_i	0.07
43	w-v	i_I	0.08
44	E-&	f_l	0.19
45	s-f	#_E	0.27
45	E-i	s_k	0.28
46	.-l	f_7	0.06
47	.-0	n_.	0.04
47	.-t	._#	0.07
48	l-r	f_4	0.13
49	.-r	f_a	0.03
50	C-f	#_.	1
50	.-r	C_5	0.03
51	r-.	f_0	0.04
51	0-^	r_m	0.28
51	m-n	0_D	0.14
51	D-d	m_0	0.05
51	&-E	m_n	0.2
52	t-d	r_#	0.09
53	E-a	h_l	0.27
54	O-0	p_r	0.25
54	r-.	O_?	0.04
54	?-t	r_0	0.17
55	E-^	s_p	0.26
55	p-f	E_0	0.23
56	.-I	#_.	0.1
56	.-n	._v	0.1
57	&-u	J_v	0.3
57	.-0	v_l	0.04
57	l-n	._I	0.23
57	I-1	l_n	0.28
57	n-l	I_#	0.31
58	t-.	E_s	0.07
58	s-z	t_b	0.07
59	h-m	#_&	0.38
60	.-m	#_i	0.14
61	I-E	m_n	0.21
62	.-m	#_.	0.14
62	.-0	._r	0.04
62	z-s	5_#	0.07
63	v-z	4_0	0.52
64	O-&	n_?	0.27
65	.-k	I_.	0.1
65	.-0	._.	0.04
65	.-l	._#	0.06
66	a-i	n_n	0.29
66	n-.	a_#	0.1
67	m-n	#_I	0.14
68	d-n	#_^	0.38
69	5-a	#_l	0.25
69	l-.	5_d	0.08
70	r-0	p_0	1
70	0-.	r_t	1
71	0-O	#_r	0.27
71	4-I	r_n	0.28
72	a-&	p_s	0.23
73	1-0	n_l	0.2
74	.-p	#_.	0.16
74	.-l	._.	0.06
74	.-0	._t	0.04
75	.-p	#_.	0.16
75	.-0	._l	0.04
75	?-t	1_I	0.17
75	I-.	?_d	0.11
75	d-.	I_#	0.09
76	.-t	s_0	0.07
76	k-t	0_j	0.16
77	.-j	p_^	0.1
77	^-u	._b	0.28
77	l-.	b_I	0.08
78	k-p	#_j	0.24
79	.-k	#_.	0.1
79	.-w	._4	0.11
80	s-k	#_.	0.27
80	.-w	s_I	0.11
81	.-k	#_w	0.1
82	p-r	#_7	0.66
83	d-r	#_I	0.44
84	n-m	1_d	0.11
85	E-I	r_d	0.2
86	i-1	r_l	0.3
87	5-u	r_d	0.27
88	I-.	u_n	0.11
89	s-S	#_O	0.09
90	p-.	s_I	0.24
90	.-I	n_s	0.1
91	S-s	#_.	0.17
91	.-n	S_4	0.1
92	0-.	#_s	0.07
92	t-d	r_I	0.09
93	.-s	#_2	0.08
94	0-.	S_n	0.07
94	.-7	n_.	1
94	.-r	._.	0.03
94	.-I	._#	0.1
95	T-t	#_9	0.18
95	z-s	r_#	0.07
96	E-I	t_n	0.2
97	T-t	#_O	0.18
97	t-r	O_S	0.34
97	S-C	t_i	0.19
97	i-u	S_w	0.3
97	w-.	i_0	0.13
97	z-s	0_#	0.07
98	2-8	t_r	0.3
99	.-r	t_a	0.03
100	b-.	#_^	0.21
101	r-v	#_&	0.44
102	w-v	#_E	0.08
102	E-&	w_s	0.19
103	d-t	s_#	0.11
104	w-v	#_1	0.08
104	I-i	r_0	0.1
105	w-v	#_I	0.08
105	z-s	0_#	0.07
106	l-v	#_5	0.44
107	a-^	v_l	0.26
107	.-r	0_#	0.03
108	d-v	#_1	0.44
109	9-i	w_r	0.3
110	s-r	#_p	0.66
110	p-.	s_&	0.24
112	O-a	n_?	0.24
112	?-t	O_I	0.17
112	I-i	?_#	0.1
113	.-l	5_.	0.06
113	.-d	._b	0.11
113	5-3	b_z	0.29
114	.-i	d_0	0.13
114	.-n	0_p	0.1
115	t-k	s_5	0.14
116	5-&	p_s	0.29
116	0-&	m_n	0.23
117	.-0	k_r	0.04
117	I-i	t_#	0.1
118	s-S	r_0	0.09
118	0-i	s_r	0.3
119	1-0	#_m	0.2
119	.-i	b_0	0.13
119	N-n	0_#	0.14
120	.-r	a_D	0.03
121	f-.	I_T	0.44
121	T-t	f_#	0.18
122	D-j	n_0	1
122	0-u	D_w	0.26
122	I-E	w_n	0.21
123	.-n	0_t	0.1
124	0-I	1_n	0.01
124	n-N	0_#	0.19
125	n-r	#_1	0.31
126	t-d	&_#	0.09
127	0-I	l_n	0.01
127	n-.	0_t	0.1
128	r-w	#_2	0.14
130	4-1	m_0	0.27
130	0-.	4_n	0.07
130	4-1	n_z	0.27
131	.-l	b_1	0.06
132	l-d	#_I	0.44
133	.-E	#_s	0.38
134	.-r	a_#	0.03
135	I-i	#_C	0.1
136	r-.	a_m	0.04
136	r-.	0_#	0.04
137	r-l	0_u	0.11
138	p-f	m_#	0.23
139	4-0	#_?	0.28
139	?-t	4_I	0.17
139	I-i	?_d	0.1
140	a-5	g_s	0.27
141	^-a	w_n	0.21
142	h-.	t_5	0.07
143	a-u	g_n	0.29
144	4-3	r_d	0.29
145	2-u	b_t	0.29
146	l-n	0_5	0.23
147	1-0	#_w	0.2
147	w-v	1_a	0.08
147	a-O	w_n	0.25
148	g-b	#_0	0.44
148	m-g	0_O	0.66
149	h-w	#_2	0.38
150	t-p	#_I	0.18
151	d-.	#_r	0.09
152	T-j	#_&	1
153	h-j	#_E	0.44
154	T-z	#_I	0.66
155	d-b	&_0	0.21
156	0-4	#_k	0.28
156	9-0	k_r	0.29
157	m-.	#_&	0.19
157	t-k	&_r	0.14
158	.-k	&_l	0.1
158	l-r	._I	0.13
159	h-.	#_&	0.07
160	h-.	#_E	0.07
160	E-4	h_l	0.26
161	0-9	t_r	0.29
161	4-0	n_t	0.28
162	1-&	#_m	0.22
162	&-0	n_s	0.24
163	0-5	t_#	0.23
164	r-.	a_s	0.04
165	O-a	#_r	0.24
165	0-.	r_g	0.07
166	h-.	#_O	0.07
166	O-a	h_r	0.24
167	k-p	s_I	0.24
167	I-0	k_n	0
168	g-.	#_r	0.38
168	r-.	g_&	0.04
169	E-&	#_k	0.19
170	.-r	0_#	0.03
