no.	pun	target	pun phon	target phon	idiomaticity	page no.	grammaticality	remark	dialect	POS pun	POS target	x	sum cost	sum/phon.	stress shift	syllable no.
1	hence	hens	hEns	hEnz		110	T	what?		CJS	NN2		0.07	0.0175		
2	neither	nether	niD0r	nED0r	coll. nether world	158	T			PNI	NN1	R	0.28	0.056		
3	and loaf	alone	0nl5f	0.l5n	idiom live by bread alone	140	B			CJS NN1	AV0	E+	0.76	0.152		
4	dun her	dinner	d^n0r	dIn0r	title man who came to dinner (Moss)	71	B			VVB PNP	NN1	Q+	0.29	0.058		
5	kama	camel	kam0.	k&m0l	coll. made of camel hair	128	T			UNC	NN1	I	0.26	0.052		
6	kith	kiss	kIT	kIs	idiom kissing cousins	130	T			NN1	NN1	C+	0.11	0.036666665		
7	miaow	me how	mi.2	mih2		149	T			ITJ	PNP AVQ		0.07	0.0175		
8	N	end	En.	End	coll. end man	156	T	see also Nero		ZZ0	NN1	R	0.09	0.03		
9	spoorious	spurious	sp.8ri0s	spjuri0s	coll. spurious claim	217	B			AJ0	AJ0	C	0.38	0.0475		
10	vasted	vested	v&stId	vEstId	coll. vested interest	243	T			AJ0	AJ0	C	0.19	0.031666666		
11	abdominal	abominable	0bdamIn..l	0b.amIn0bl	coll. abominable snowman	5	B			AJ0	AJ0	C	0.39	0.039		
12	acidic	I see Dick	0sIdIk	1sidIk		7	ne			AJ0	PNP VVB NP0		0.35	0.058333334	e	
13	acoustic	a cue stick	0k.ustIk	0kjustIk	coll. cue stick	7	ne			AJ0	AT0 NN1 NN1	R	0.09	0.01125		
14	adamant	Adam and	&d0m0nt	&d0m0nd	coll. Adam and Eve	7	ne			AJ0	NP0 CJC	B	0.11	0.015714286		
15	alike	I like	0l1k	1l1k	idiom I like to think so	10	T	adnominatio		AJ0	PNP VVB	I+	0.2	0.05		
16	alimentary	elementary	&l0mEn?0rI	El0mEn?0rI	quote elementary, my dear watson	10	B	what?		AJ0	AJ0	Q+	0.19	0.019		
17	artesian	a-teasin'	0rtiZ0n	0.tiz0n		16	T	a-Xing prefix		AJ0	VVG		0.41	0.058571428		
18	awkward	hawk ward	.Okw0rd	hOkwOrd	_def.	20	ne			AJ0	NN1 NN1		0.32	0.045714285		
19	backward	back ward	b&kw0rd	b&kwOrd	_def.	22	ne			AJ0	NN0 NN1		0.25	0.035714287		
20	bellicose	belly 'cause	bElIk5s	bElIkOz		28	T			AJ0	NN1 CJC		0.33	0.047142856	l	
21	bellicose	very close	bElIk.5s	vErIkl5s	_def.	28	ne		Chinese	AJ0	AV0 AJ0		0.37	0.04625		
22	benign	be nine	bIn1n	bin1n	_def.	28	ne			AJ0	VBI CRD		0.15	0.03		
23	boisterous	boys to us	b3st0r0s	b3zt0.0s		32	T			AJ0	NN2 PRP PNP		0.1	0.0125		
24	bonkers	yonkers	baNk0rz	jaNk0rz	_def.	32	ne			AJ0	NP0		0.66	0.09428571		
25	brief	beef	brif	b.if	coll. beefeater	35	B			AJ0	NN0	R	0.03	0.0075		
26	chary	cherry	C7rI	CErI	coll. cherry picker	46	B			AJ0	NN1	R	0.29	0.0725		
27	chic	cheek	Sik	Cik	idiom tongue in cheek	47	T			AJ0	NN1	I+	0.15	0.05		
28	coined	kind	k3nd	k1nd	idiom my kinda girl	51	T			AJ0	NN1	I+	0.28	0.07		
29	comical	chemical	kamIk0l	kEmIk0l	coll. chemical combination	52	B			AJ0	AJ0	C	0.27	0.03857143		
30	consecrated	concentrated	kans0.kr4tId	kans0ntr4tId	coll. concentrated lye	54	B			AJ0	AJ0	C	0.24	0.02		
31	contrite	can't write	k0ntr1t	k&ntr1t		54	T			AJ0	VM0 NN0 VVB		0.24	0.034285713		
32	covert	cover	k5v9rt	k^v0r.	idiom from cover to cover	57	T	eye-pun		AJ0	NN1	E+	0.64	0.10666667	l	
33	curly	pearly	k9rlI	p9rlI	coll. Pearly Gates	60	B			AJ0	AJ0	R	0.23	0.046		
34	curtain	certain	k9r?0n	s9r?0n	idiom a certain something	61	B			AJ0	AJ0	T+	0.27	0.045		
35	disgusting	this gusting	dIsg^stIN	DIsg^stIN		67	T	absolutely no 2nd script		AJ0	DT0 AJ0		0.05	0.0055555557		
36	dismal	decimal	dIz.m0l	dEsIm0l	_def.	68	B			AJ0	NN1		0.38	0.054285713		
37	dour	our	d20r	.20r	title Oh God, our help...	69	B			AJ0	DPS	Q+	0.11	0.0275		
