T\P	p	t	k	b	d	g	C	J	f	v	T	D	s	z	S	Z	h	m	n	N	l	r	j	w	?	i	I	E	&	a	O	U	u	9	0	^	1	2	3	4	5	6	7	8	.
p	0.00	0.31	0.23	0.14	1.00	1.00	1.00	1.00	0.23	0.66	1.00	1.00	0.66	1.00	1.00	1.00	1.00	0.66	0.66	1.00	1.00	0.66	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.24
t	0.18	0.00	0.14	0.44	0.09	1.00	0.38	1.00	0.52	0.66	0.20	1.00	0.34	0.52	1.00	1.00	1.00	1.00	0.34	1.00	0.38	0.34	1.00	1.00	0.21	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.07
k	0.24	0.16	0.00	1.00	0.52	0.10	0.38	1.00	0.44	1.00	1.00	1.00	0.34	1.00	1.00	1.00	0.34	1.00	1.00	1.00	0.66	1.00	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.18
b	0.16	0.38	0.52	0.00	0.38	0.31	1.00	1.00	0.38	0.44	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.66	0.66	1.00	0.66	0.66	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.21
d	0.44	0.11	0.34	0.21	0.00	0.44	1.00	0.66	1.00	0.44	0.66	0.44	0.66	0.66	1.00	1.00	1.00	0.66	0.38	1.00	0.34	0.44	1.00	1.00	0.18	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.09
g	0.66	0.66	0.11	0.44	0.34	0.00	1.00	0.44	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.38
C	1.00	0.38	0.52	1.00	1.00	1.00	0.00	0.18	1.00	1.00	1.00	1.00	1.00	1.00	0.15	1.00	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
J	1.00	1.00	1.00	0.66	0.44	0.66	0.20	0.00	1.00	1.00	1.00	1.00	1.00	1.00	0.38	0.31	1.00	1.00	1.00	1.00	1.00	1.00	0.44	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.52
f	0.21	1.00	1.00	0.66	1.00	0.52	1.00	1.00	0.00	0.17	0.44	1.00	0.34	1.00	1.00	1.00	0.38	1.00	1.00	1.00	1.00	0.52	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.44
v	1.00	0.66	1.00	0.18	0.66	0.66	1.00	1.00	0.14	0.00	1.00	1.00	0.66	0.52	1.00	1.00	1.00	0.52	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.17
T	0.52	0.18	1.00	1.00	0.52	1.00	1.00	0.66	0.24	1.00	0.00	0.66	0.25	0.66	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.52
D	1.00	0.18	0.66	1.00	0.05	0.44	1.00	1.00	1.00	0.38	0.23	0.00	0.38	0.34	1.00	1.00	1.00	1.00	1.00	1.00	0.52	0.66	1.00	1.00	0.23	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.13
s	1.00	0.44	0.27	0.66	1.00	1.00	0.44	0.38	0.27	1.00	0.11	1.00	0.00	0.07	0.09	1.00	0.52	1.00	1.00	1.00	0.66	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.10
